Docker-Mocha Details

state,stateTime,test,testTime,total
"BootupUnit",74.053,"","",""
"LoadOntologies",43.516,"","",""
"CreateUsersUnit",34.081,"","",""
"","","demouser1",68.278,""
"","","demouser2",68.576,""
"","","import",78.057,""
"","","admin",79.238,""
"","","user_avatar",81.097,""
"","","demouser3",81.993,""
"","","projects.new",82.346,""
"","","user.edit",82.776,""
"","","users",83.588,""
"CreateAvatarsForUsersUnit",88.851,"","",""
"CreateProjectsUnit",94.152,"","",""
"","","demouser3.avatar",81.408,""
"","","publicProject.__administerTest",76.371,""
"","","demouser1.avatar",81.915,""
"","","demouser2.avatar",82.171,""
"AddContributorsToProjectsUnit",81.338,"","",""
"","","privateProject.__mkdir",66.869,""
"","","from_ontology",67.16,""
"","","projects-list",67.431,""
"","","publicProject.__mkdir",67.705,""
"","","projects-my",68.004,""
"","","metadataOnlyProject.__mkdir",68.323,""
"CreateFoldersPublicProject",79.884,"","",""
"CreateFoldersUnit",102.808,"","",""
"","","publicProject.data.testFolder2.__mkdir",92.436,""
"","","privateProject.data.testFolder2.__mkdir",93.466,""
"","","metadataOnlyProject.data.testFolder2.__mkdir",94.515,""
"","","metadataOnlyProject.data.testFolder1.__mkdir",95.474,""
"","","publicProject.data.testFolder1.__mkdir",96.293,""
"","","privateProject.data.testFolder2.__update_metadata",97.166,""
"","","publicProject.data.testFolder1.__update_metadata",98.704,""
"","","publicProject.data.testFolder2.__update_metadata",102.264,""
"","","privateProject.data.testFolder1.__mkdir",104.016,""
"","","publicProject.data.testFolder2.__delete",129.134,""
"","","metadataonlyProject.data.testFolder2.__delete",129.674,""
"","","metadataonlyProject.data.testFolder1.__update_metadata",130.223,""
"","","publicProject.data.testFolder1.__delete",130.615,""
"","","metadataonlyProject.data.testFolder2.__update_metadata",131.108,""
"AddMetadataToFoldersPublicProject",155.692,"","",""
"","","publicProject.data.testFolder1.__hard_delete",133.08,""
"","","privateProject.data.testFolder2.__delete",133.677,""
"","","privateProject.data.testFolder1.__update_metadata",134.796,""
"","","privateProject.data.testFolder1.__delete",135.272,""
"","","metadataonlyProject.data.testFolder1.__delete",135.771,""
"","","publicProject.data.testFolder2.__hard_delete",101.688,""
"","","privateProject.data.testFolder2.__hard_delete",100.949,""
"","","privateProject.data.testFolder1.__hard_delete",103.27,""
"","","metadataonlyProject.data.testFolder1.__hard_delete",101.882,""
"","","metadataonlyProject.data.testFolder2.__hard_delete",101.539,""
"","","privateProject.data.testFolder1.__upload",100.996,""
"","","archivedResource",119.531,""
"","","admin.reindex",107.795,""
"CreateFoldersForLsByName",149.055,"","",""
"DeleteFoldersUnit",127.791,"","",""
"AddMetadataToFoldersUnit",142.577,"","",""
"","","privateProject.__metadata&deep",3.726,""
"","","metadataonlyProject.__metadata&deep",3.793,""
"","","publicProject.__metadata&deep",3.812,""
"","","publicProject.data.testFolder1.__restore",151.032,""
"","","publicProject.data.testFolder1.__ls_by_name",77.998,""
"","","metadataOnlyProject.data.testFolder1.__ls_by_name",80.071,""
"","","privateProject.data.testFolder1.__ls_by_name",81.433,""
"","","publicProject.data.testFolder1.__undelete",77.745,""
"","","privateProject.data.testFolder1.__undelete",80.073,""
"","","privateProject.data.testFolder2.__undelete",80.675,""
"","","publicProject.data.testFolder2.__undelete",81.724,""
"","","metadataonlyProject.data.testFolder1.__undelete",82.373,""
"","","publicProject.data.testFolder1.__metadata&deep",5.291,""
"","","publicProject.data.testFolder2.__metadata&deep",3.543,""
"","","metadataonlyProject.data.testFolder2.__undelete",83.957,""
"","","privateProject.data.testFolder1.__metadata&deep",3.568,""
"","","privateProject.data.testFolder2.__metadata&deep",3.682,""
"","","metadataonlyProject.data.testFolder1.__metadata&deep",3.677,""
"","","metadataonlyProject.data.testFolder2.__metadata&deep",3.631,""
"","","search",117.428,""
"","","metadataonlyProject.__metadata",123.232,""
"","","metadataonlyProject",132.448,""
"","","publicProject.__metadata",147.179,""
"","","publicProject.data.testFolder1.__metadata",143.402,""
"","","publicProject.data.testFolder2.__metadata",144.062,""
"","","privateProject",148.778,""
"","","privateProject.__metadata",149.744,""
"","","publicProject",155.951,""
"CreateFilesUnit",326.237,"","",""
"","","metadataonlyProject.data.testFolder2.__metadata",114.762,""
"","","privateProject.data.testFolder1.__metadata",171.958,""
"","","publicProject.data.testFolder1.__parent_metadata",115.377,""
"","","metadataonlyProject.data.testFolder1.__metadata",124.048,""
"","","privateProject.data.testFolder2.__metadata",126.599,""
"","","privateProject.data.testFolder1.__parent_metadata",129.177,""
"","","publicProject.data.testFolder2.__parent_metadata",131.305,""
"","","privateProject.data.testFolder2.__parent_metadata",133.643,""
"","","metadataonlyProject.data.testFolder2.__parent_metadata",133.507,""
"","","metadataonlyProject.data.testFolder1.__parent_metadata",134.874,""
"","","publicProject.data.testFolder1.__version",115.601,""
"","","publicProject.data.testFolder1.__change_log",104.075,""
"","","privateProject.data.testFolder1.__version",117.564,""
"","","publicProject.data.testFolder2.__version",131.96,""
"","","metadataonlyProject.data.testFolder1.__version",125.178,""
"","","metadataonlyProject.data.testFolder2.__version",125.231,""
"","","publicProject.data.testFolder2.__change_log",124.26,""
"","","privateProject.data.testFolder1.__change_log",119.057,""
"","","privateProject.data.testFolder2.__version",128.544,""
"","","privateProject.data.testFolder2.__change_log",119.402,""
"","","metadataonlyProject.__recent_changes",156.421,""
"","","publicProject.data.testFolder2.__recent_changes",141.734,""
"","","privateProject.__recent_changes",157.974,""
"","","metadataonlyProject.data.testFolder1.__recent_changes",137.294,""
"","","metadataonlyProject.data.testFolder2.__change_log",160.503,""
"","","publicProject.data.testFolder1.__recent_changes",145.736,""
"","","privateProject.data.testFolder2.__recent_changes",139.447,""
"","","privateProject.data.testFolder1.__recent_changes",141.126,""
"","","publicProject.__recent_changes",161.657,""
"","","metadataonlyProject.data.testFolder1.__change_log",169.577,""
"","","metadataonlyProject.data.testFolder2.__recent_changes",114.662,""
"","","publicProject.data.testFolder1.__restore_metadata_version",112.928,""
"","","publicProject.data.testFolder2.__restore_metadata_version",113.195,""
"","","privateProject.data.testFolder2.__restore_metadata_version",155.785,""
"","","select_ontology_manually",153.563,""
"","","metadataonlyProject.data.testFolder1.__restore_metadata_version",156.852,""
"","","favorite_descriptor_from_quick_list_for_project",154.595,""
"","","metadataonlyProject.data.testFolder2.__restore_metadata_version",157.392,""
"","","privateProject.data.testFolder1.__restore_metadata_version",176.956,""
"UploadFilesAndAddMetadataUnit",159.808,"","",""
"","","favorite_descriptor_from_manual_list_for_project",107.459,""
"","","hide_descriptor_from_quick_list_for_project",107.667,""
"","","unfavorite_descriptor_from_quick_list_for_project",112.651,""
"","","hide_descriptor_from_quick_list_for_user",114.016,""
"","","favorite_descriptor_from_manual_list_for_user",117.763,""
"","","acceptDescriptorFromQuickList",131.868,""
"","","unhide_descriptor_from_quick_list_for_user",133.221,""
"","","unhide_descriptor_from_quick_list_for_project",134.174,""
"","","acceptDescriptorFromQuickListWhileItWasAProjectFavorite",133.324,""
"","","unfavorite_descriptor_from_quick_list_for_user",136.358,""
"","","acceptDescriptorFromQuickListWhileItWasAUserFavorite",115.809,""
"","","acceptDescriptorFromQuickListWhileItWasAUserAndProjectFavorite",135.742,""
"","","accept_descriptor_from_autocomplete",78.142,""
"","","accept_smart_descriptor_in_metadata_editor",78.023,""
"","","accept_descriptor_from_manual_list_while_it_was_a_user_favorite",116.964,""
"","","select_descriptor_from_manual_list",125.369,""
"","","accept_descriptor_from_manual_list_while_it_was_a_user_and_project_favorite",127.107,""
"","","acceptDescriptorFromManualList",138.113,""
"","","delete_all",111.114,""
"","","acceptDescriptorFromManualListWhileItWasAProjectFavorite",191.384,""
"","","delete_descriptor_in_metadata_editor",177.296,""
"","","fill_in_descriptor_from_manual_list_in_metadata_editor",171.252,""
"","","fill_in_descriptor_from_manual_list_while_it_was_a_project_favorite",171.214,""
"","","fill_in_descriptor_from_manual_list_while_it_was_a_user_favorite",169.528,""
"","","fill_in_inherited_descriptor",148.745,""
"","","fill_in_descriptor_from_quick_list_while_it_was_a_user_favorite",149.647,""
"","","fill_in_descriptor_from_manual_list_while_it_was_a_user_and_project_favorite",152.197,""
"","","fill_in_descriptor_from_quick_list_while_it_was_a_project_favorite",151.282,""
"","","fill_in_descriptor_from_quick_list_while_it_was_a_user_and_project_favorite",150.409,""
"","","fill_in_descriptor_from_quick_list_in_metadata_editor",152.355,""
"","","metadataOnlyProject.__bagit",78.012,""
"","","publicProject.__bagit",92.163,""
"","","privateProject.__bagit",131.116,""
"","","metadataOnlyProject.__delete",89.06,""
"","","publicProject.__delete",136.827,""
"","","privateProject.__delete",82.722,""
"CreateManualPostForAllProjectTypesUnit",89.063,"","",""
"","","favorite_descriptor_from_quick_list_for_user",389.057,""
"ShareSomePostsUnit",37.44,"","",""
"LikeSomePostsUnit",70.068,"","",""
"CommentSomePostsUnit",40.61,"","",""
"","","accept_favorite_descriptor_in_metadata_editor",425.859,""
"","","privateProject.data.testFolder1.a_filename",386.001,""
"CreateSocialDendroTimelineWithPostsAndSharesUnit",41.188,"","",""
"","","notifications.notification[DELETE]",13.235,""
"","","privateProject.data.testFolder1.a_filename.__rename",438.836,""
"","","posts.all",52.346,""
"","","social.my",58.58,""
"","","posts.posts",61.278,""
"","","notifications.notification",63.405,""
"","","posts.new",64.67,""
"","","posts.shares",69.222,""
